Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
Windstorm,8,EoT,3,2d8+6,Magical,Standard,AoE,Foes,"Cone 2
(Push 2)","Targets are pushed in the direction of the cone. Within range, the user may place either: 4 Air, 4 Sticky, or 1 Boost tile(s). If the user or allies have already placed Windstorm tiles, they are converted to Normal. This may be used as a non-damaging Standard targeting only tiles in range."
Flower Crown,9,Twice/EoT,-,-,-,Swift or Standard,AoE,Self and Allies,Global,"Targets on Forest tiles gain +10% DMG/1, while targets on Water tiles heal 5d4 HP. The user may use this as a Standard to double these values to 20% and 10d4 respectively. This cannot targets players not on either."
Scorched Earth,10,Once,4,1d8+0,Physical,Standard,1,Foe,"Range 3
(Push 1)","Before push, tiles in the target's Star 1 become Lava. This lava counts as damage from the user. Entities cannot take damage for entering more than once per turn."
All-Terrain Master,EX1,Passive,-,-,-,-,-,-,-,"Terraform becomes Every Turn, and may, up to Twice, place Normal, Sticky or Air instead of Water or Forest. The player gains a bonus for one round based on the tile they end their turn on:
Normal: +1 ACC. Forest: +10% DMG. Water: 5d4 heal. Air: attacks ignore Air and gain +1 Range. Boost: +6 CR. Sticky: +2 EVA and -1 range on incoming attacks. Lava: +1 Standard that does not check ATK/MAG/DEF."
The Serenity of Nature,EX2,Once,-,-,-,Swift,1,Tile,Melee,"If the user has attacked or been attacked, sacrifice 50-100 HP and max HP to summon a ""Nature Spirit"" in the user's Melee which acts after the user's turns. Players do not win until the user and Nature Spirit are both defeated. This ability is disabled after use.

Nature Spirit: Stats: 125% of Sacrificed HP | 17 ATK/MAG | 5 DEF | 1 EVA | 4 MP. Moves: Basic Abilities, Terraform (1 tile max), Rototill, Bioturbation, Wildfire, Bloom, Flower Crown. "
"Spellbook (Methridium, beautifications)",,,,,,,,,,
55 HP | 0 ATK | 15 MAG | 4 PDEF | 6 MDEF | 1.2 EVA | 2 MP,,,,,,"""A jack-of-all-trades that spends Mana to use and combine its abilities.""",,,,
Attuned,1,Passive,-,-,-,-,-,-,-,"The user starts with 5 Mana, and gains 5 at the start of each turn per Spellbook attack used on their previous turn, to a capacity of 10. They also gain 2 per non-Spellbook Standard/Full attack they used last turn. Attacks with a Mana cost only use Mana on hit."
Fireball,1,Every Turn,3,2d6+0,Magical,Standard,1,Foe,Line 5,"Costs 2 Mana. The user may spend more Mana to add +1 base dice per extra Mana spent. If any of this move's damage dice roll a 1, inflict targets with 3 Burn/1."
Hex,2,EoT,2,1d6-2,Magical,Standard,1,Foe,Range 3,Costs 3 Mana. The next Standard/Full attack on each target gains +2 ACC and +2 dice.
Plague,3,E3T,4,3d6+1,Magical,Standard,1,Foe,"Range 4
(Splash 1)","Costs 3 Mana. After the move resolves, the user chooses Bleed, Burn, Curse or Poison. Targets are inflicted with 3 [Chosen Status]/1, or /2 at a cost of 1 additional Mana."
Spellweave,4,Every Turn,-,-,-,Trigger,-,Self,-,"The user chooses any number of distinct usable Spellbook moves to ""Spellweave"", consuming a use of each move. Their next Spellbook attack this turn adds the base rolls and all secondary effects (including Mana costs) of the Spellwoven moves to its own."
Sandstorm,5,EoT,3,1d6+0,Magical,Standard,AoE,Foes,"Beam 3
(Push 2)","Costs 3 Mana. Targets deal -25% damage on their next Standard/Full attack. Targets are pushed in the direction of the Beam, if applicable."
Faith,6,EoT,-,2d6+2,-,Free,1,Self or Ally,Range 4,"Costs 2 Mana. Instead of dealing damage, targets are healed equal to the roll. If Spellwoven, the move gaining this effect remains an attack, but has its targeting group become Ally/Allies, and can only target players attacked by a foe within the last round."
Scourge,7,E3T,4,4d6+3,Magical,Standard,1,Foe,Homing 6,"Costs 4 Mana. The user chooses one of each target's non-Basic, non-Level 1, non-EX moves. For one round, targets cannot use any of the selected moves."
Tornado,8,EoT,-,-,-,Movement or Standard,1,Ally,Global,"Costs 1 Mana. The user moves up to half their MP (rounded down) and swaps locations with a chosen target via teleport, in either order. After, the user cannot move this turn."
Fog,9,Twice/E3T,3,1d6+1,Magical,Standard,2,Foes,Homing 6,"Costs 3 Mana. For one round, targets cannot target anything from a greater distance than this move was used at. Only add half MAG against targets outside of Range 2."
Maelstrom,10,Once,4,2d6+13,Magical,Standard,1,Foe,Homing 4,"Costs 6 Mana. Before accuracy, the user chooses two of the following effects for this move to gain: +5 damage, +2 accuracy, +5 DEF/1 on hit, or +3 MP/2 on hit."
Ichorous,EX1,Passive,-,-,-,-,-,-,-,"The user starts with 10 Mana instead of 5, and gains 1 when hit by any attack. The user can hold infinite Mana at once. At the start of their turn (after Attuned), the user takes damage equal to 3 times the amount of Mana they have above their capacity of 10."
Catalysis,EX2,Passive,-,-,-,-,-,-,-,"When the user uses a Spellbook move, including through Spellweave, it may be used regardless of Frequency for the rest of the turn. When an ability is Spellwoven, the user may spend 2 Mana (before accuracy) to add targets to the recipient ability from within the Spellwoven ability's targeting amount and range, once per Spellwoven move."
"Talisman (Ocean, bro torterra)",,,,,,,,,,
60 HP | 4 ATK | 9 MAG | 3 PDEF | 7 MDEF | 1.3 EVA | 2 MP,,,,,,"""A support weapon with a wide arsenal of buffs that require strategic application.”",,,,
Conduit,1,Passive,-,-,-,-,-,-,-,"The user's buffs and debuffs originating from their Talisman abilities are permanent but only take effect when ""channeled"" by certain effects. Buffs that would be removed are un-channeled instead. Dice are channeled when DMG is channeled."
Resonate,1,Once,-,-,-,Free,1,Self,-,"This move restores a Use after the player uses a Standard/Full Talisman ability. 
The user gains a buff equal to: +3 DMG, +3 PDEF, +3 MDEF, or +1 ACC."
Smite,1,Every Turn,3,2d8+4,Magical,Standard or Swift,1,Foe,Homing 5,"Before accuracy, the user chooses a buff to channel for one round.
This may be used as a non-damaging Swift targeting the user."
Divine Merit,2,Twice/EoT,-,-,-,Standard,-,Self or Ally,Homing 4,"The target gains +2d4+1 damage to their next attack. If this targets the user, channel DMG next turn. This cannot be used on a target who already has this buff."
Serpent's Gate,3,EoT,4,"2d10-2
(Double Hit)",Magical,Standard,2,Foes,Range 2,"Before accuracy, the user channels ACC and CR until the start of their next turn. For each accuracy roll of 11+, the user gains +1 damage dice. Else, gain -1 damage dice."
Compass,4,E3T,3,3d4+6,Magical,Standard,1,Foe,Line 3,"The user gains +2 ACC. If they miss while this buff is channeled, the user gains +3 CR."
Sanctuary,5,Once,-,-,-,Swift,-,Self,-,The user's next channeling is extended by one round.
Absolution,6,Twice/E3T,4,4d6+4,Magical,Standard,AoE,Foes,Beam 2,The user chooses a target. The chosen target's debuffs are inflicted to all other targets for one round. Allies in range are cleansed of debuffs.
Seal of Solomon,7,Twice/EoT,4,3d8+3,Magical,Standard,1,Foe,Range 4,The user chooses a buff (e.g. PDEF) channeled on this attack to invert and apply to the target as a debuff for one round. The target is inflicted with Confusion/1.
Providence,8,Twice/E3T,4,2d8+7,Magical,Standard,AoE,Foes,Star 3,The user chooses either PDEF or MDEF to channel and apply to allies in range for one round. This may be used as a non-damaging Standard action.
Transcendence,9,Twice,4,5d4+8,Magical,Standard,1,Foe,Homing 4,"Before accuracy, convert +ACC to +CR and vice versa as well as +DMG to either +PDEF or +MDEF and vice versa. Converted buffs are channeled for one round."
Echo of Light,10,Once,4,2d10+7,Magical,Standard,AoE,Foes,Pierce 3,Buffs the user channels next turn are doubled for the duration of the channel.
Heaven's Will,EX1,Passive,-,-,-,-,-,-,-,"Resonate becomes a Trigger action that can be used up to twice per turn. If one of the user's buffs is removed by a foe, the effect is applied as a debuff to all foes in Star 2 for one round."
Judgment,EX2,Once,3,3d10+6,Magical,Standard,1,Foe,Homing 5,"The target is inflicted with Evil Eye permanently. 
Evil Eye: Debuffs inflicted on the affected player last for an additional round. At the start of their turn, they take d4+2 damage for every debuff they are under. The Talisman heals HP equal to the damage dealt."
,,,,,,,,,,
