Move Name,Effects,Alias,Notes
Blackjack,"Conditional,Damage Modifier,honestly this thing deserves its own logic",,
Craps,"Dice Modifier,Target Modifier,honestly this thing deserves its own logic,Conditional",,
Jackpot,"Buff,Damage Modifier,Accuracy Modifier,Conditional",,
Slots Spin,"Conditional,Damage Modifier",,
Hi-Lo,honestly this thing deserves its own logic,,
Stacked Deck,honestly this thing deserves its own logic,,
Card Counter,Reaction,,
High Roller,Target Modifier,,
Lunar Phase,"honestly this thing deserves its own logic,Passive",,
Moonblast,Effect Modifier,,
Dark Reflection,Debuff,,
Holy Light,"Conditional,Effect Modifier",,
Lunar Shift,"Effect Modifier,Conditional",,
Harvest Moon,"Conditional,Heal,Effect Modifier,non-attack ",,
Tidal Wave,Non-damaging Status,,
Double Tide,"Multi-hit,Conditional,Effect Modifier",,
Blood Moon,"Conditional,Damaging Status",,
Celestial Blessing,"Buff,Effect Modifier",,
Gravity Crash,"honestly this thing deserves its own logic,Conditional",,
Far Side of the Moon,"honestly this thing deserves its own logic,Passive",,
Fatal Moonlight,"honestly this thing deserves its own logic,Conditional",,
Future Sight,Effect Modifier,,
Augur,"Delay,Choice,Damage Modifier,Accuracy Modifier",,
Eventide,"Delay,Choice,Damaging Status,Effect Modifier",,
Echo Burst,"Delay,Choice,Target Modifier,Damage Modifier,Buff",,
Omen,Effect Modifier,,
Corruption,"Delay,Choice,Effect Modifier",,
Astral Touch,"Conditional,Effect Modifier",,
Foresight,"Reaction,Heal,Choice,Effect Modifier",,
Dawn Break,"Delay,Choice,Accuracy Modifier",,
Oracle,"Choice,Effect Modifier,non-attack ",,
Prophecy,"Delay,Choice,Conditional,Accuracy Modifier,Damage Modifier,Effect Modifier",,
Fateweave,"Choice,Delay,Conditional,Accuracy Modifier,Effect Modifier,Outside Damage Factors Ignored",,
Psychic Overlord,"Passive,Heal,Damage Modifier,Debuff,Accuracy Modifier",,
Crimson Pact,"Passive,Conditional,Recoil,Damage Modifier,Resource Gain",,
Bloodrush,"Conditional,Damage Modifier,Buff",,
Defile,"Damaging Status,Conditional,Resource Gain",,
Purloin Youth,"Recoil,Resource Gain",,
Sanctified Blade,"Effect Modifier,Conditional",,
Pentagram,Conditional,,
Black Magic,"Passive,Conditional,Damage Modifier,Accuracy Modifier",,
Massacre,"Conditional,Effect Modifier,Frequency Modifier",,
Covenant,honestly this thing deserves its own logic,,
Exsanguinate,"Conditional,Effect Modifier",,
Siphon Soul,"Heal,Before Accuracy",,
Oblation,Damage Modifier,,
Total Depravity,"Passive,Effect Modifier,Conditional,Recoil",,
Bloodbind,"Resource Loss,Heal,Damage Modifier,Before Accuracy",,
Reaper's Touch,"Conditional,Heal",,
Reap,Effect Modifier,,
Hades' Toll,Effect Modifier,,
Haunted Swing,"Conditional,Damage Modifier,Heal",,
Wither Soul,"Conditional,Heal",,
Pestilent Strike,"Conditional,Effect Modifier,Damaging Status",,
Coup de Grace,"Conditional,Heal,Damage Modifier",,
Spirit Break,"Debuff,Buff,Damage Modifier",,
Phantasmal Shield,"Heal,Effect Modifier,Conditional",,
Stroke of Midnight,"Effect Modifier,Damage Modifier",,
Phantom Blade,,,
Immortal Coil,"honestly this thing deserves its own logic,Passive",,
Quietus,"Passive,Accuracy Modifier,Damage Modifier",,
Whittle,"Recoil,Tile Placement",,
Totem of Blood,"Tile Effect,Target Modifier,Damage Modifier,Effect Modifier",,
Void's Call,"Target Displacement,Conditional",,
Left-Hand Path,"Self Displacement,Conditional,Debuff,Accuracy Modifier,Damage Modifier",,
Totem of Bone,"Effect Modifier,Tile Effect,Damage Modifier,Target Modifier",,
Heredity,"Effect Modifier,Heal,Conditional,Tile Placement",,
Totem of Soul,"Recoil,Effect Modifier,Tile Effect,Buff,Damage Modifier,Conditional",,
Feral Spark,"Debuff,Recoil,Buff,Effect Modifier",,
Blasphemy,"Damaging Status,Conditional,Effect Modifier",,
Effigial Pyre,"Damaging Status,Effect Modifier,Tile Placement",,
Sacrificial Lamb,"Recoil,Conditional,Target Modifier,Damage Modifier,Accuracy Modifier",,
Ancestral Wrath,honestly this thing deserves its own logic,,
Animatus,honestly this thing deserves its own logic,,
Egregore,"Conditional,Effect Modifier,honestly this thing deserves its own logic",,
Triumvirate,"honestly this thing deserves its own logic,Passive,Damage Modifier,Target Modifier",,
Exercitus,"Target Displacement,Non-damaging Status,Conditional",,
Disengage,"Debuff,Target Displacement,Conditional,Damage Modifier,Self Displacement",,
Forward Jab,"Conditional,Damage Modifier,Target Displacement",,
Breach,"Tile Effect,Immunity",,
Phalanx,"Conditional,DEF Ignore,Outside Damage Factors Ignored",,
Shield Wall,"Conditional,Buff,Damage Modifier,non-attack ",,
Iberian Steel,"Resource Gain,Buff,Damage Modifier,Accuracy Modifier",,
Deus Vult,"Conditional,Immunity,remove",,
Invigorate,"Conditional,Buff,Accuracy Modifier,Damage Modifier,shield",,
Dual Wield,Debuff,,
Weapon Crash,"Varies,Dice Modifier,Immunity,Accuracy Modifier,Conditional",,
Impede,"remove,Buff,Target Modifier,Frequency Modifier,Conditional",,
Hastiliarius,"Passive,Effect Modifier",,
Thwack,"Can be used while Sealed,Damage Modifier,Conditional",,
Grave of Titans,"DEF Ignore,Conditional,Damage Modifier,Accuracy Modifier",,
Inertial Shift,"Conditional,Target Displacement,Damage Modifier,Target Modifier",,
Pole Vault,"Immunity,non-attack ",,
Adaptive,"Passive,Conditional,Buff",,
Fair Fight,honestly this thing deserves its own logic,,
Hardwood Slam,"Damaging Status,Non-damaging Status,Accuracy Modifier,Damage Modifier,Conditional,Heal",,
Exploit Feign,"Multi-hit,Debuff,Damage Modifier,Conditional,remove,Choice",,
Stance Breaker,"Conditional,Dice Modifier,shield",,
Defiance,"Reaction,Non-damaging Status,Self Displacement,Buff,Outside Damage Factors Ignored",,
Calamitous Trance,"Conditional,Damage Modifier,Dice Modifier,Accuracy Modifier,Non-damaging Status",,
Paragon,"Passive,shield,Damage Modifier,Conditional",,
Martial Mastery,"DEF Ignore,honestly this thing deserves its own logic",,
Disarm,"Damage Modifier,Debuff,Effect Modifier",,
Spurn,Conditional,,
Figure 8 ,"Reaction,DEF Ignore",,
Reversal,"Conditional,Accuracy Modifier,Buff,DEF Ignore",,
Wear Down,"Conditional,Buff,Damage Modifier",,
Guard,honestly this thing deserves its own logic,,
Yin Yang,"Varies,Conditional,Choice",,
Standoff,Conditional,,
Dazing Hook,"Immunity,Conditional,Non-damaging Status,Dice Modifier",,
Hold Over,"Choice,Conditional",,
Gale Force,"Target Displacement,non-attack ",,
Aikido,"Passive,Conditional,Buff,Damage Modifier",,
Tempest Sweep,"Choice,Effect Modifier,Target Modifier",,
Bloodlust,"Passive,Conditional,Resource Gain",,
Feral Chop,,,
Chain Axe,"Target Displacement,Effect Modifier",,
Power Swing,"Resource Loss,Accuracy Modifier",,
Wide Slash,"Target Modifier,Resource Loss",,
Vindictive,"Passive,Resource Gain,Conditional",,
Knockback,"Target Displacement,Non-damaging Status,Resource Loss,Effect Modifier,Choice",,
Franciscate,"non-attack ,Buff,Non-damaging Status,Resource Loss,remove",,
Gash,"Resource Loss,Damaging Status,Effect Modifier",,
Sever,"Resource Loss,Multi-hit,Accuracy Modifier",,
Swing Cycle,"Passive,Resource Loss,Frequency Modifier,Resource Gain",,
Wrath,"Resource Loss,Choice,Damage Modifier,Target Modifier,Accuracy Modifier,Effect Modifier",,
Amped Strike,"Resource Loss,Damage Modifier",,
Unstoppable Force,honestly this thing deserves its own logic,,
Cyclone Sweep,"Target Displacement,Damage Modifier,Conditional",,
Storm Strike,"Self Displacement,Non-damaging Status",,
Seismic Smash,"Target Displacement,Non-damaging Status",,
Masonry,"Tile Placement,honestly this thing deserves its own logic",,
Stonemason,"Passive,Immunity",,
Crush,"Target Displacement,Conditional,Damage Modifier",,
Earth Render,"Choice,Tile Placement",,
Lagging Spin,"Conditional,DEF Ignore,Damage Modifier",,
Gravity Well,"Choice,Conditional,Target Displacement",,
Shockwave Slam,Target Displacement,,
Collision Course,"Target Displacement,honestly this thing deserves its own logic",,
Aftershock,"Reaction,Self Displacement",,
Fissure,"Target Displacement,Before Accuracy,Tile Placement,honestly this thing deserves its own logic",,
Heavy Weapon,"Passive,Conditional,Effect Modifier",,
Razor Rust,"Conditional,Non-damaging Status",,
Tomahawk Toss,"Conditional,Target Displacement,Non-damaging Status",,
Plate Crusher,"Passive,Conditional,DEF Ignore",,
Kip Up,"Target Displacement,Choice,Self Displacement,DEF Ignore,Outside Damage Factors Ignored",,
Repulse Slice,"Target Displacement,Conditional,Effect Modifier",,
Continental Crash,"Conditional,Target Displacement,Tile Placement,Tile Effect,Target Modifier,honestly this thing deserves its own logic",,
Discipline,"Buff,Damage Modifier,Conditional",,
Kinetic Impact,"Target Displacement,Conditional,Damage Modifier,Dice Modifier",,
Two Handed,"Target Displacement,Conditional,Effect Modifier,Damaging Status",,
Elastic Collision,"Target Displacement,Self Displacement,honestly this thing deserves its own logic,Conditional,Accuracy Modifier",,
Supreme Strikes,honestly this thing deserves its own logic,,
Fleet Footwork,"Conditional,Self Displacement,Target Displacement,Choice",,
Line Out,"Target Modifier,Conditional",,
Right to Rule,"Passive,Resource Loss,Conditional,Damage Modifier,Accuracy Modifier",,
Coronation,"Reaction,Effect Modifier,Resource Gain",,
Besiege,"Choice,shield,Conditional,Effect Modifier",,
Bastion,"Debuff,Damage Modifier,Choice,Tile Effect,Conditional,Buff",,
Catapult Campaign,"Conditional,Damaging Status,Effect Modifier",,
Ambush,"Resource Loss,Frequency Modifier,Buff,Damage Modifier,Conditional,non-attack ",,
Entrench,"Conditional,Buff,Damage Modifier,Effect Modifier",,
