Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
High Ground,9,EoT,4,4d8+0,Physical,Standard,1,Foe,Melee,"The user chooses Pistol or Taunt. Pistol: This attack is AoE/Foes/Pierce 5, and targets' Item moves become Movement actions for one round. Taunt: For one round, targets' AoE attacks become Pierce and must target the user."
Swashbuckler ,10,Once,4,3d10-4,Physical,Standard,1,Foe,Melee,"The user chooses Cruel, Sly, or Daring. Cruel: This attack gains +1 dice. Sly: Before accuracy, the target's duration-based buffs and inflicted debuffs end. Daring: The user gains 10 Shield/1."
Deathly Crew,EX1,Passive,-,-,-,-,-,-,-,"If the user spends a Coin on an attack that kills a foe, the user gains 1 Trick Coin. Until they spend the Trick Coin gained from this effect, they have +4 DEF and +1 CR. The user cannot gain another Trick Coin from this effect if they have one already."
Captain's Order,EX2,E3T,4,4d6+2,Physical,Standard,1,Foe,Melee,"The target chooses Plank or Marooning. If Plank is chosen, the target is pushed 2 tiles and they take 4 damage for each of the user's ongoing Cutlass effects they have. If Marooning is chosen, the target's next Standard attack has 25% recoil."
Fangs (HSquid),,,,,,,,,,
60 HP | 13 ATK | 10 MAG | 5 PD | 3 MD | 0.5 EVA | 1 MP,,,,,,"""How deep are you ready to give into the thirst?""",,,,
Bloodthirst,1,Passive,-,-,-,-,-,-,-,"The user can have up to 10 Blood. At the end of their turn, they gain 2 Blood, and gain 1 whenever they are hit by an attack. When they reach 10 Blood, the next attack on them automatically hits, causes the user to lose all Blood, and if it would already hit, it also deals double damage.
The user's Thirst N effects are active as long as the user has N or more Blood when they select the move (those effects are mandatory)."
Twin Fangs,1,Every Turn,3,2d6+4,Physical,Standard,1,Foe,Melee,"Every time this move hits, the user loses 2 Blood.
Thirst 5 : This move gains 3 MR and becomes Double Hit."
Otherworldly Attraction,2,EoT,4,3d6+7,Magical,Standard,2,Foe,Range 4,"Roll accuracy separately for each target. Statuses inflicted by this move are ignored when moving towards the user.
This move inflicts Slow/1.
Thirst 4 : Also inflict Cripple 4/1."
The Urge,3,Passive,-,-,-,-,-,-,-,"The user gets all the following :
Thirst 3: The user gets +1 MP. (Active as long as the user has 3 or more Blood).
Thirst 4: The user cannot be Slowed, Rooted, Sealed or Stunned, and takes half damage from Confusion and Cripple.
Thirst 6: The user's attacks have +1 base dice."
Draw Blood,4,Twice/E3T,-,1d6,Physical,Swift,1,Self,-,"This move does not add ATK / DEF and automatically hits (it still rolls accuracy).
The user gets +1 MP this turn. If this move deals 5 or more damage, the user gains 1 additional Blood and their next attack this turn also gains +1 base dice."
Uninvited Guest,5,Twice,3,3d10+0,Physical,Standard,1,Foe,Melee,"If this user's first attack on the target, gain 2 Blood.
If one of the user or the target has attacked the other during their previous turn but not the other way around, this move gains +8 CR."
Blood Wave,6,Twice/EoT,4,3d6+5,Physical,Standard,AoE,Foes,Pierce 5,"If the user was attacked multiple times during their previous turn, they may gain 1 Blood when using this move, before Thirst effects.
Thirst 3: Also inflict each target with -X DEF/2, where X is the user's Blood.
Thirst 5: The user may have this move become AoE / Foes / Beam 5."
Indulge,7,Once,4,1d4+2,Magical,Standard,1,Foe,Melee,"This move ignores the target's DEF.
Thirst 7: If this move hits, lose half your current Blood (rounded up), and heal equal to 30% of the damage dealt, then the user cannot gain Blood until the start of their next turn.
Thirst 10: This move has no effects instead."
Blood Whirl,8,Twice/E3T,5,2d10+7,Physical,Standard,AoE,Foes,Burst 1,"Roll accuracy separately for each target. Lose X Blood, where X is the number of targets hit.
Thirst 4: This move becomes Star 2. 
Thirst 7: Before accuracy, teleport up to 2 tiles."
Night Visitor,9,Once,4,4d10+5,Physical,Full,1,Foe,Global,"This move can only be used on a foe that the user has damaged this game that is not in melee range. Before accuracy, teleport to any tile within melee range of its target.
Thirst 5: This move attacks to foes in Star 1 of the user (after the teleport) and inflicts Slow/1 on all targets hit.
Thirst 9: This move can be used even in melee and hits foes in Star 2 instead of Star 1 and if this move hits, lose 1 Blood +1 per target hit."
Sky Turns Red,10,Once,-,-,-,Swift,-,-,-,"The user's next 2 Fangs attacks on foes cannot cause the user to lose Blood and gain ""Thirst X: This move ignores X DEF, and heals equal to 5 * X% of the damage dealt to one target."" (X is equal to the user's Blood).
This effect ends if the user reaches 10 Blood, if they use Indulge (before accuracy), or if they use a Free action to end it early."
Nocturnal Predator,EX1,Passive,-,-,-,-,-,-,-,"The user does not get an extra Standard nor take their action normally during their turn, but instead takes an extra turn after every foe's turn. Effects with a turn duration and frequencies count down only when the user would normally take their turn. During those extra turns, the user's MP is halved."
Sanguine Explosion,EX2,Once,5,3d4+2,Magical,Reaction,AoE,Foes,"Star 4
(Push 2)","This move can be used when the user reaches 10 Blood. It inflicts Slow/1 on all targets hit. It can also be used without consuming a use whenever a foe dies, in which case the move originates from the foe and becomes Burst 2 instead and loses Push."
Scissors (Mulligante),,,,,,,,,,
70 HP | 7 ATK | 15 MAG | 4 PD | 5 MD | 0.9 EVA | 2 MP,,,,,,"A jack of all trades that combines offense, defense and disruption through scaling AoE and displacement.",,,,
Ramping Magic,1,Passive,-,-,-,-,-,-,-,"When the user targets 2+ foes with a Scissors attack, all of the user's Weapon attack and effects have their AoE range increased by +1 and Push/Pull effects increased by +1. This Passive only triggers once between the start of the user's turns."
Lasting Cuts,1,Every Turn,2,4d6+2,Magical,Standard,AoE,Foes,Cone 1,"Targets are inflicted with 3 Cripple/1. If a target is already inflicted with Cripple, their Cripple is increased by 2, and its' duration is set to one round if it is less than that."
Savage Spin-out,2,EoT,3,2d8+7,Magical,Standard,1,Foe,"Range 4
(Splash)","This attack's Splash is a Beam 1 behind the target. The original target is Pulled 3 tiles, while the splashed targets are Pushed 1 tile."
Silk Cocoon,3,E3T,-,-,-,Free,1,Tile,Homing 4,"Create a Silk Cocoon [Star tile] on an unoccupied tile in range. If the user already has a Silk Cocoon, the previous one is destroyed. It acts like an Ice tile with 25 HP, but the user's attacks deal only a maximum of 15 damage to it, and the user's Scissors effects ignore its Ice Clause. Tiles in the Silk Cocoon's Burst 1 take an additional 1 MP to enter. This effect does not stack and its range cannot be increased."
Debilitate,4,E3T,4,3d10+5,Magical,Standard,1,Foe,Melee,"This attack ignores 4 DEF, increased by another 4 per Ramping Magic proc. If this attack ignores all of the target's MDEF, it triggers Ramping Magic."
Piercing Jab,5,E3T,4,1d12+5,Magical,Standard,AoE,Foes,Pierce 3,"For every 30 damage the user has taken since the start of their last turn, this attack gains +1 dice and has its' range upgraded (Pierce -> Beam -> Cone)."
Enchanted Blade,6,Twice/E3T,3,3d8+3,Magical,Standard,AoE,Foes,Beam 2,"Targets are inflicted with 4 Curse/1 or 4 Bleed/1. If there are multiple targets, inflict both, but their damage does not stack."
Handle Bash,7,Thrice/EoT,4,2d10+7,Magical,Standard,AoE,Foes,Cone 1,"This attack has Pull 1 or Push 1, chosen by the user. The user teleports to a tile in Beam 2 in the direction of this attack (Push) or in the opposite direction (Pull). On their next turn, all of the target's actions, including Basic Movement, cost 1 MP to use."
Weaver's Whirl,8,E3T,-,-,-,Swift,AoE,Allies and Self,Burst 1,"Targets gain 2d8 Shield/1. When this Shield is broken, foes in their Star 1 are inflicted with -2 MP/1. This can stack to a maximum of -4."
Thirteenfold Cut,9,Twice/E3T,4,2d6+12,Magical,Standard,AoE,Foes,Cone 1,"Pick up to 3 players in range to inflict with -5 DEF/1. Those players may choose to negate this debuff on themselves. For each one that does, the user gains +4 DEF/1."
Guillotine,10,Every Turn,4,3d10+7,Magical,Standard,AoE,Foes,Cone 1,"This attack starts at zero uses and gains a use whenever Ramping Magic activates. This attack has +1 dice for each time Ramping Magic has activated, and -1 dice per target."
Jammed Blades,EX1,Passive,-,-,-,-,-,-,-,"The user's Silk Cocoon's Frequency is Every Turn and it is immune to damage, but disappears at the start of their next turn. Piercing Jab cannot gain more than 3 dice."
Silken Suit,EX2,Passive,-,-,-,-,-,-,-,"The first time the user damages or is damaged by a foe, they take 20% less damage from all attacks for one round."
,,,,,,,,,,
