Name,Lv.,Frequency,MR,Damage,,,Target,,,Effect
Tinker's Dam,3,Once,-,-,-,Swift,1,Tile,Range 3,"The user creates a wall of Stone on unoccupied tiles on the target and its Line 2 in a chosen direction, which is removed after 2 rounds, or can be removed on the user's turn as a Free action. Foes ending their turn with any of these Stone tiles in their melee take 5 damage and are Burned 3/1. Stone tiles function like Ice, but take 30 damage to break and have 1 EVA. "
Reforge,4,E3T,-,-,-,Movement,1,Foe or Ally,Melee,"Choose one of the target's base stats, except HP. If the target is a foe, reduce the chosen base stat by 1/3 for one round, and the target cannot receive buffs to that stat while under this effect. If the target is an ally, the chosen base stat is 1.5x for one round."
Mending Mantel,5,Once,-,-,-,Full,1,Tile,Homing 3,"Place a Hearth tile on the target. Hearth tiles give +5 DEF/1 and 5 HP in healing to the user and allies whenever they end their turn in its Star 3 (ignoring Foe obstructions). Hearth tiles also have the effects of Stone, and are removed when the user dies."
"Cleric (Ocean, Vrji)",,,,,,,,,,
55 HP | 7 ATK | 10 MAG | 2 PDEF | 4 MDEF | 0.6 EVA | 3 MP ,,,,,,"""A naturally frail class dedicated to healing and supporting its allies.""",,,,
First Aid,1,EoT,-,3d4+6,-,Swift,1,Self or Ally,Range 3,"The target is healed the rolled amount. If the target is an ally, this may be used as a Standard action to add the user's ATK or MAG to the roll. This can only be used on a target that has been attacked in the last round."
Ward,2,E3T,-,-,-,Swift,AoE,Self and Allies,Burst 2,Targets cannot be inflicted with debuffs or statuses for one round.
Heaven's Wind,3,EoT,-,-,-,Swift,2,Any,Range 4,The targets teleport and swap locations.
Martyrdom,4,E3T,-,-,-,Free,-,Self,-,"For one round, the user's healing is increased by 15% and players who are healed by their moves receive +1 EVA/MP (max +3) until the start of the user's next turn. For each ally that has died, this healing bonus is increased by 15%."
Vestments,5,Twice,-,-,-,Free,1,Self or Ally,Range 4,"Choose one primary target and one secondary target (they can be the same player). For one round, the primary target heals 1/4 of the damage taken by the secondary target. The primary target can only be Self if two uses of this move are available; it then uses up two uses. Players can only be the primary target of one Vestments at a time."
"Dancer (Ocean, Taistelu)",,,,,,,,,,
70 HP | 11 ATK | 10 MAG | 2 PDEF | 4 MDEF | 1.6 EVA | 3 MP ,,,,,,"""An offensive support class with mastery over the turn order and action economy.""",,,,
Pas de Deux,1,E3T,-,-,-,Standard or Full,1,Ally,Melee,"The target immediately takes their turn after the user. Then, turn order resumes as normal. The target cannot use Pas de Deux on the given turn. If the target is a Juggernaut, they only have access to one Standard. If this is used as a Standard, the target cannot use their Movement action."
Emboîté,2,Once,-,-,-,Swift,AoE,Self and Allies,Burst 1,"The targets' abilities that are on cooldown may be used one round earlier.
(E3T becomes EoT; EoT becomes Every Turn, etc.)"
Fouetté,3,Once,-,-,-,Swift,1,Self or Ally,Range 3,"Until the start of the user's next turn, the target may use one Once/Twice/Thrice move without expending a Use, even if the move is out of Uses. This cannot be used on Reaction or Trigger actions."
En Pointe,4,Passive,-,-,-,-,-,-,-,"The user may use their Class and Item Swift actions as if they are Frees. Whenever the user targets an ally with a Dancer action, they gain a copy of this passive until the end of their next turn."
Divertissement,5,Once,-,-,-,Swift,1,Self or Ally,Range 3,"The target's next Standard/Full attack on their next turn gains +dice faces equal to the number of actions previously used that turn (except Basic Movement), max +5 dice faces. This ability’s action type is unaffected by En Pointe."
"Monk (Ocean, Vrji)",,,,,,,,,,
70 HP | 12 ATK | 11 MAG | 1 PDEF | 1 MDEF | 1.1 EVA | 2 MP ,,,,,,"""A slow burn offensive class that gets more powerful every turn.""",,,,
Qi Force,1,Passive,-,-,-,-,-,-,-,"After the player uses a non- Free or Swift attack, they gain a Qi stack, max 5. Each Qi stack gives +2 ATK/MAG. The user can gain a maximum of 2 Qi between the start of one of their turns and the start of the next. Whenever an ally dies, the user gains a stack of Qi."
Soulstep,2,Twice/EoT,2,1d6+3,Magical,Movement,1,Foe,Melee,"The user moves up to their MP. Targetting may be done either before or after this movement. This move is immune to outside damage factors, ignores DEF, and does not add ATK/MAG."
Eightfold Shield,3,EoT,-,-,-,Free,1,Self or Ally,Melee,"The user spends at least two Qi. For one round, the target gains +1d4+1 DEF per Qi spent."
Conversion,4,Twice,-,-,-,Free,-,Self,-,"The user spends between 1 and 3 Qi. The user's attacks this turn become the opposite damage type and the user's ATK and MAG are swapped. Additionally, for every Qi spent, their attacks ignore 5 DEF and gain +1 Range."
Nirvana,5,Once,-,-,-,Free,-,Self,-,The user spends any amount of Qi to gain +1 dice and +2 damage on their next attack per Qi spent.
Paladin (Ocean),,,,,,,,,,
85 HP | 6 ATK | 6 MAG | 6 PDEF | 6 MDEF | 1 EVA | 2 MP ,,,,,,"""The tank. Protects allies and has excellent survivability, but moves slowly.""",,,,
Aegis,1,EoT,-,-,-,Reaction,1,Ally,Homing 4,"This may be used when an ally in range is damaged by an attack. The user moves as close to the target as possible, and 25% of the attack's damage is redirected to the user. The user is not considered a target of the attack if they were not before Aegis was used."
Pavise,2,E3T,-,-,-,Free,-,Self,-,"For one round, whenever the user or allies in their Burst 2 are hit by an attack, players damaged by that attack gain +3 DEF/1 per each such damaged player."
Impasse,3,E3T,-,-,-,Free,1,Any,Melee,"If used on self or an ally, the target cannot be inflicted with Push/Pull and stat reduction by foes for one round. If used on a foe, the target's buffs are removed."
Radiance,4,Twice,-,-,-,Swift,-,Self,-,"For one round, the user takes 80% damage from attacks, and Aegis's damage interception is increased to 50%."
Oathkeeper,5,Once,-,-,-,Free,1,Ally,Global,"The user and target gain Oath of Mercy. At the start of an affected player's turn, they heal 2 HP and gain +1 ATK/MAG (max +5). This does not stack with multiple uses of the ability. When the user or target dies, Oath of Mercy ends and all ATK/MAG gained is lost."
"Rifter (Taistelu, Beautifications)",,,,,,,,,,
60 HP | 12 ATK | 13 MAG | 2 PDEF | 2 MDEF | 0.5 EVA | 3 MP ,,,,,,"""Cheat the rules to bend the situation to your favour.""",,,,
Rewind,1,EoT,-,-,-,Reaction,1,Self or Foe,Global,This may be used when the user or a foe attacking the user rolls damage for an attack. Reroll up to 3 damage dice. Rerolled dice cannot trigger or negate Bomb dice.
Warp,2,Twice/EoT,-,-,-,Movement,-,-,-,"The user teleports to a tile in Range 4 (ignoring player obstructions). Inflict -5 DEF/1 on foes in Burst 1 of that tile, and for the rest of the turn, the user's attacks can pass through players."
Superposition,3,Every Turn,-,-,-,Standard,-,Self,-,"Roll a d20 and store the result (max one stored result). As a Reaction, before the user rolls an accuracy check, they may substitute it with the stored roll. The user may also react to a foe attacking in Range 4 after accuracy. If so, replace that attack's accuracy roll with this one (this cannot make that attack miss)."
Fractal Division,4,Twice/EoT,-,-,-,Swift,-,Self,-,"This turn, the user's next single-target attack may target 2 foes. The targets must be within Range 4, and the attack loses Splash. (If a secondary effect relies on one target, the user picks which one.)"
Time's Edge,5,Once,-,-,-,Free,-,Self,-,"This turn, the user uses an additional Standard action which has -3 MR. The next two Standard/Full actions this turn only add 25% ATK/MAG. If the first Standard/Full deals damage, the second Standard ignores outside damage factors and ATK/MAG/DEF. The user can only use Reactions and Triggers between these actions, unless specified otherwise."
"Skirmisher (Methridium, Werewolf)",,,,,,,,,,
65 HP | 13 ATK | 13 MAG | 1 PDEF | 2 MDEF | 1.9 EVA | 4 MP ,,,,,,"""An elusive attacker that pressures opponents with strong positioning and blinding mobility.""",,,,
Adrenaline,1,Passive,-,-,-,-,-,-,-,"The user's Basic Movement only has a -1 MP Backstep penalty, rather than -2. The user may use Basic Movement multiple times per turn (which still spends MP to move). "
Lightspeed,1,EoT,-,-,-,Free,1,Self or Ally,Range 3,"If the target uses Dash before the user's next turn, they may use Glide or Rushdown.
Glide: The user moves up to 2 tiles per MP spent instead of 1.5 (max 12 tiles).
Rushdown: After Dash, the user may immediately use a Standard, which cannot target outside of the user's Melee. Rushdown moves a max of 10 tiles and is immune to AoO."
Outmaneuver,2,EoT,-,-,-,Free,-,Self,-,"The user spends any amount of MP to use this move. Until the start of the user's next turn, the user's attacks used from their maximum range have +1 ACC per 2 MP spent. (Homing takes the shortest possible path.)"
Quick Thinking,3,EoT,-,-,-,Movement,-,Self,-,This may be used after the user resolves their last Standard action of their turn. They spend MP to move one tile per two MP spent. This Movement ignores Backstep penalty.
Tunneling,4,Twice/E3T,-,-,-,Swift,-,Self,-,"This turn, the user moves through all tiles and foes as if they were Normal tiles. (They cannot perform or end actions standing on obstructions or Broken tiles.)"
Wormhole,5,Once,-,-,-,Free,1,Tile,Range 2,"The user places a ""Wormhole"" on the target tile. Then, as a Swift action, the user or an ally may spend half of their MP (rounded up) to teleport to it. The Wormhole expires on use, or after two rounds."
,,,,,,,,,,
